timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:43.513446,of:0000000000000002,1,278,278
2022-10-20T16:04:43.513458,of:0000000000000002,2,278,278
2022-10-20T16:04:43.513468,of:0000000000000002,3,278,278
2022-10-20T16:04:43.513484,of:0000000000000007,1,0,278
2022-10-20T16:04:43.513495,of:0000000000000007,2,0,278
2022-10-20T16:04:43.513505,of:0000000000000007,3,278,278
2022-10-20T16:04:43.513521,of:0000000000000005,1,278,278
2022-10-20T16:04:43.513532,of:0000000000000005,2,278,278
2022-10-20T16:04:43.513542,of:0000000000000005,3,278,278
2022-10-20T16:04:43.513557,of:0000000000000006,1,0,278
2022-10-20T16:04:43.513568,of:0000000000000006,2,0,278
2022-10-20T16:04:43.513578,of:0000000000000006,3,278,278
2022-10-20T16:04:44.518119,of:0000000000000003,1,0,278
2022-10-20T16:04:44.518217,of:0000000000000003,2,0,278
2022-10-20T16:04:44.518232,of:0000000000000003,3,278,278
2022-10-20T16:04:44.518252,of:0000000000000004,1,0,278
2022-10-20T16:04:44.518263,of:0000000000000004,2,0,278
2022-10-20T16:04:44.518273,of:0000000000000004,3,278,278
2022-10-20T16:04:44.518289,of:0000000000000001,1,278,278
2022-10-20T16:04:44.518300,of:0000000000000001,2,278,278
2022-10-20T16:04:44.518321,of:0000000000000002,1,278,278
2022-10-20T16:04:44.518341,of:0000000000000002,2,278,278
2022-10-20T16:04:44.518358,of:0000000000000002,3,278,278
2022-10-20T16:04:44.518384,of:0000000000000007,1,0,278
2022-10-20T16:04:44.518404,of:0000000000000007,2,0,278
2022-10-20T16:04:44.518424,of:0000000000000007,3,278,278
2022-10-20T16:04:44.518450,of:0000000000000005,1,278,278
2022-10-20T16:04:44.518461,of:0000000000000005,2,278,278
2022-10-20T16:04:44.518472,of:0000000000000005,3,278,278
2022-10-20T16:04:44.518487,of:0000000000000006,1,0,278
2022-10-20T16:04:44.518497,of:0000000000000006,2,0,278
2022-10-20T16:04:44.518508,of:0000000000000006,3,278,278
2022-10-20T16:04:45.520238,of:0000000000000003,1,0,278
2022-10-20T16:04:45.520338,of:0000000000000003,2,0,278
2022-10-20T16:04:45.520353,of:0000000000000003,3,278,278
2022-10-20T16:04:45.520374,of:0000000000000004,1,0,278
2022-10-20T16:04:45.520384,of:0000000000000004,2,0,278
2022-10-20T16:04:45.520395,of:0000000000000004,3,278,278
2022-10-20T16:04:45.520410,of:0000000000000001,1,278,278
2022-10-20T16:04:45.520420,of:0000000000000001,2,278,278
2022-10-20T16:04:45.520435,of:0000000000000002,1,278,278
2022-10-20T16:04:45.520445,of:0000000000000002,2,278,278
2022-10-20T16:04:45.520456,of:0000000000000002,3,278,278
2022-10-20T16:04:45.520471,of:0000000000000007,1,0,278
2022-10-20T16:04:45.520481,of:0000000000000007,2,0,278
2022-10-20T16:04:45.520491,of:0000000000000007,3,278,278
2022-10-20T16:04:45.520506,of:0000000000000005,1,278,278
2022-10-20T16:04:45.520516,of:0000000000000005,2,278,278
2022-10-20T16:04:45.520527,of:0000000000000005,3,278,278
2022-10-20T16:04:45.520541,of:0000000000000006,1,0,278
2022-10-20T16:04:45.520551,of:0000000000000006,2,0,278
2022-10-20T16:04:45.520562,of:0000000000000006,3,278,278
